run_name,shortcut_tag,schema,seed,reward_short,condition,log_path,step,critic/score/mean,critic/score/max,critic/score/min,train_aux/reward/format/mean,train_aux/reward/correct/mean,train_aux/reward/citation_free_valid/mean,train_aux/reward/citation_free_line_valid/mean,response_length/mean,actor/entropy,actor/pg_loss,derived_main_reward_event,critic/score/range,zero_reward_variance_batch
rl_hfsa_easy500_train0p5_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3407_mrg,0p5,indicator_correct_and_citation_free_valid_plus_0p1_format,3407,validity_gated,train0p5_validity_gated,logs/posttrain_hfsa_easy500_3605316_3.out,500,1.068750023841858,1.100000023841858,0.10000000149011612,1.0,1.0,0.96875,0.9754464285714286,241.6875,0.032166942954063416,0.0643921047449112,0.9687500238418579,1.0000000223517418,0.0
rl_hfsa_easy500_train0p5_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3408_mrg,0p5,indicator_correct_and_citation_free_valid_plus_0p1_format,3408,validity_gated,train0p5_validity_gated,logs/posttrain_hfsa_easy500_3605316_7.out,500,1.084375023841858,1.100000023841858,0.10000000149011612,1.0,1.0,0.984375,0.9856770833333334,234.171875,0.026761649176478386,-0.0004289671778678894,0.9843750238418579,1.0000000223517418,0.0
rl_hfsa_easy500_train0p5_correct_plus_0p1_format_seed3408_mrg,0p5,correct_plus_0p1_format,3408,correct_only,train0p5_correct_only,logs/posttrain_hfsa_easy500_3605316_6.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,0.921875,0.9399739583333333,235.546875,0.026709074154496193,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p0_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3408_mrg,0p0,indicator_correct_and_citation_free_valid_plus_0p1_format,3408,validity_gated,train0p0_validity_gated,logs/posttrain_hfsa_easy500_3605316_5.out,500,1.084375023841858,1.100000023841858,0.10000000149011612,1.0,1.0,0.984375,0.9973958333333333,226.671875,0.018195293843746185,0.0018125325441360474,0.9843750238418579,1.0000000223517418,0.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3408_mrg,0p0,correct_plus_0p1_format,3408,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_4.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,226.90625,0.01780826970934868,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p5_correct_plus_0p1_format_seed3407_mrg,0p5,correct_plus_0p1_format,3407,correct_only,train0p5_correct_only,logs/posttrain_hfsa_easy500_3605316_2.out,500,1.084375023841858,1.100000023841858,0.10000000149011612,1.0,0.984375,0.984375,0.984375,233.796875,0.026213446632027626,-0.006572626531124115,0.9843750238418579,1.0000000223517418,0.0
rl_hfsa_easy500_train0p5_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3409_mrg,0p5,indicator_correct_and_citation_free_valid_plus_0p1_format,3409,validity_gated,train0p5_validity_gated,logs/posttrain_hfsa_easy500_3605316_11.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,233.984375,0.025724174454808235,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p5_correct_plus_0p1_format_seed3409_mrg,0p5,correct_plus_0p1_format,3409,correct_only,train0p5_correct_only,logs/posttrain_hfsa_easy500_3605316_10.out,500,1.084375023841858,1.100000023841858,0.10000000149011612,1.0,0.984375,0.921875,0.9869791666666666,235.625,0.02622433379292488,-0.00042204558849334717,0.9843750238418579,1.0000000223517418,0.0
rl_hfsa_easy500_train0p0_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3407_mrg,0p0,indicator_correct_and_citation_free_valid_plus_0p1_format,3407,validity_gated,train0p0_validity_gated,logs/posttrain_hfsa_easy500_3605316_1.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,226.609375,0.018156765028834343,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,226.78125,0.01853572577238083,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3409_mrg,0p0,correct_plus_0p1_format,3409,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_8.out,500,1.100000023841858,1.100000023841858,1.100000023841858,1.0,1.0,1.0,1.0,226.234375,0.01818280667066574,0.0,1.0,0.0,1.0
rl_hfsa_easy500_train0p0_indicator_correct_and_citation_free_valid_plus_0p1_format_seed3409_mrg,0p0,indicator_correct_and_citation_free_valid_plus_0p1_format,3409,validity_gated,train0p0_validity_gated,logs/posttrain_hfsa_easy500_3605316_9.out,500,1.0984375476837158,1.100000023841858,1.0,0.984375,1.0,1.0,1.0,226.578125,0.018211496993899345,0.0008119167760014534,0.9984375476837158,0.10000002384185791,0.0
