template,train_max,n,gsm8k_em,gsm8k_tag,hotpot_f1,hotpot_em,twowiki_f1,twowiki_em,musique_f1,musique_em
logic,5,3,0.055850391710892094,0.6173869092747031,0.4693264622088152,0.34833333333333333,0.4182857142857143,0.36000000000000004,0.2962255968432439,0.2316666666666667
logic,10,3,0.07884761182714177,0.7596664139499621,0.47775512940218823,0.36000000000000004,0.40123953823953823,0.3383333333333334,0.2952542256218727,0.22833333333333336
logic,15,3,0.07379327773565833,0.6795552185999494,0.4585134002318876,0.3433333333333333,0.40722186147186146,0.3433333333333333,0.28187339403515876,0.22333333333333336
logic,20,3,0.08642911296436695,0.6982562547384382,0.5039430678254208,0.3833333333333333,0.40854329004329,0.34833333333333333,0.311857168974816,0.24666666666666667
logic,25,3,0.056103108415466264,0.5812484205205964,0.4893582222062614,0.37166666666666665,0.4220477392977393,0.36166666666666664,0.3013485120543944,0.2316666666666667
nl_exact,5,3,0.49279757391963613,0.9471822087439979,0.19799583622622838,0.14666666666666667,0.20218650793650797,0.17166666666666666,0.11322317218807516,0.08333333333333333
nl_exact,10,3,0.47864543846348245,0.9812989638615113,0.21579743620576955,0.16,0.1929478766175681,0.15666666666666665,0.12702725456684572,0.08666666666666667
nl_exact,15,3,0.32575183219610815,0.985342431134698,0.25133307692956813,0.19333333333333333,0.22897919672919673,0.18333333333333332,0.16071868436821693,0.115
nl_exact,20,3,0.4109173616376043,0.9527419762446298,0.23303535299912112,0.17499999999999996,0.1890294486215539,0.165,0.1326131106444933,0.09833333333333333
nl_exact,25,3,0.2572656052565075,0.9006823351023502,0.1745090831654299,0.12666666666666668,0.16281349206349205,0.13166666666666668,0.09939841977194919,0.07833333333333334
