template,train_max,seed,gsm8k_em,gsm8k_tag,hotpot_f1,hotpot_em,twowiki_f1,twowiki_em,musique_f1,musique_em
logic,10,3407,0.03335860500379075,0.775587566338135,0.4922555364025952,0.38,0.4193863636363636,0.355,0.2842030453206924,0.22
logic,10,3408,0.045489006823351025,0.6557998483699773,0.47162397352103236,0.355,0.3963625541125541,0.33,0.2982122028298499,0.225
logic,10,3409,0.15769522365428354,0.8476118271417741,0.46938587828293715,0.345,0.38796969696969696,0.33,0.30334742871507575,0.24
logic,15,3407,0.09173616376042457,0.7164518574677786,0.5134436578050023,0.38,0.41194047619047613,0.355,0.3164307620484091,0.25
logic,15,3408,0.04624715693707354,0.45034116755117515,0.46229399794105674,0.355,0.4221363636363636,0.355,0.2723410200910201,0.22
logic,15,3409,0.08339651250947688,0.8718726307808946,0.39980254494960377,0.295,0.3875887445887446,0.32,0.256848399966047,0.2
logic,20,3407,0.08188021228203184,0.6444275966641395,0.5027754794225383,0.38,0.41596969696969693,0.355,0.31081934568699277,0.25
logic,20,3408,0.12054586808188021,0.9598180439727066,0.5095396825396825,0.395,0.39182683982683986,0.335,0.31116658178422885,0.245
logic,20,3409,0.05686125852918878,0.49052312357846856,0.4995140415140415,0.375,0.41783333333333333,0.355,0.3135855794532265,0.245
logic,25,3407,0.015163002274450341,0.35178165276724793,0.5218395819866408,0.395,0.4443982683982684,0.385,0.3171626984126984,0.245
logic,25,3408,0.0887035633055345,0.6239575435936315,0.5073915343915344,0.39,0.432469696969697,0.37,0.3175653774330245,0.25
logic,25,3409,0.06444275966641395,0.7680060652009097,0.4388435502406091,0.33,0.3892752525252525,0.33,0.2693174603174603,0.2
logic,5,3407,0.060652009097801364,0.5852918877937832,0.4484499808470397,0.33,0.3895,0.335,0.2940296631473102,0.23
logic,5,3408,0.043214556482183475,0.34420015163002277,0.48178256003256004,0.36,0.42767857142857146,0.37,0.283813767931415,0.225
logic,5,3409,0.06368460955269144,0.9226686884003032,0.4777468457468458,0.355,0.4376785714285715,0.375,0.3108333594510065,0.24
nl_exact,10,3407,0.530705079605762,0.974981046247157,0.3205545380545381,0.24,0.3652619047619048,0.31,0.16370698582463286,0.12
nl_exact,10,3408,0.6497346474601972,0.9969673995451099,0.12693373015873016,0.1,0.1108452380952381,0.085,0.12710993901106543,0.08
nl_exact,10,3409,0.25549658832448824,0.9719484457922669,0.19990404040404042,0.14,0.10273648699556141,0.075,0.09026483886483887,0.06
nl_exact,15,3407,0.17513267626990145,0.9848369977255497,0.4472045177045177,0.355,0.4063928571428571,0.345,0.27073878971062554,0.2
nl_exact,15,3408,0.33131159969673996,0.9954510993176648,0.18857398936346303,0.145,0.16091378066378068,0.12,0.1275559361574542,0.09
nl_exact,15,3409,0.47081122062168307,0.9757391963608795,0.11822072372072372,0.08,0.1196309523809524,0.085,0.08386132723657104,0.055
nl_exact,20,3407,0.3457164518574678,0.868081880212282,0.018333333333333333,0.015,0.013026315789473684,0.01,0.005666666666666666,0.0
nl_exact,20,3408,0.7164518574677786,0.9901440485216073,0.20133357222487658,0.155,0.1150263157894737,0.105,0.07907968828557065,0.05
nl_exact,20,3409,0.17058377558756635,1.0,0.47943915343915344,0.355,0.4390357142857143,0.38,0.3130929769812426,0.245
nl_exact,25,3407,0.22062168309325247,0.8483699772554966,0.26925,0.195,0.30697619047619046,0.255,0.170354329004329,0.14
nl_exact,25,3408,0.3025018953752843,0.9461713419257013,0.13314775910364146,0.1,0.04592857142857142,0.035,0.06124569221628045,0.045
nl_exact,25,3409,0.2486732373009856,0.9075056861258529,0.12112949039264828,0.085,0.1355357142857143,0.105,0.0665952380952381,0.05
nl_exact,5,3407,0.5602729340409401,0.8862774829416225,0.07784920634920635,0.055,0.13775,0.115,0.04552777777777778,0.025
nl_exact,5,3408,0.32221379833206976,0.9567854435178166,0.4834200483612248,0.36,0.43358730158730163,0.375,0.28601673878644773,0.22
nl_exact,5,3409,0.5959059893858984,0.9984836997725549,0.032718253968253966,0.025,0.035222222222222224,0.025,0.008125,0.005
