run_name,shortcut_tag,schema,seed,reward_short,condition,log_path,step,critic/score/mean,train_aux/reward/format/mean,train_aux/reward/correct/mean,train_aux/reward/citation_free_valid/mean,train_aux/reward/citation_free_line_valid/mean,response_length/mean,actor/entropy,actor/pg_loss,derived_main_reward_event
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,1,1.084375023841858,1.0,0.984375,0.984375,0.984375,218.984375,0.016049498692154884,-0.000286344438791275,0.9843750238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,2,1.100000023841858,1.0,1.0,1.0,1.0,215.015625,0.017478976398706436,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,3,1.100000023841858,1.0,1.0,1.0,1.0,244.1875,0.019666584208607674,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,4,1.100000023841858,1.0,1.0,1.0,1.0,222.359375,0.026899605989456177,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,5,1.084375023841858,1.0,0.984375,0.984375,0.990625,220.8125,0.01765984296798706,0.001380325760692358,0.9843750238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,6,1.100000023841858,1.0,1.0,1.0,1.0,254.25,0.018613239750266075,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,7,1.084375023841858,1.0,0.984375,1.0,1.0,245.5625,0.020319584757089615,0.004939494654536247,0.9843750238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,8,1.100000023841858,1.0,1.0,1.0,1.0,208.65625,0.016459792852401733,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,9,1.084375023841858,1.0,0.984375,0.984375,0.99609375,257.03125,0.02119765244424343,0.000696919858455658,0.9843750238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,10,1.100000023841858,1.0,1.0,1.0,1.0,218.71875,0.018197042867541313,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,11,1.084375023841858,1.0,0.984375,1.0,1.0,220.359375,0.019347280263900757,-0.00030289776623249054,0.9843750238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,12,1.100000023841858,1.0,1.0,1.0,1.0,226.96875,0.0184522345662117,0.0,1.0
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,13,1.068750023841858,1.0,0.96875,1.0,1.0,214.0,0.017366895452141762,0.0012390408664941788,0.9687500238418579
rl_hfsa_easy500_train0p0_correct_plus_0p1_format_seed3407_mrg,0p0,correct_plus_0p1_format,3407,correct_only,train0p0_correct_only,logs/posttrain_hfsa_easy500_3605316_0.out,14,1.100000023841858,1.0,1.0,1.0,1.0,208.75,0.016245605424046516,0.0,1.0
