template,train_max,seed,elapsed_hours,ood_valid_given_correct16,greedy_train_correct,greedy_train_valid,greedy_ood_correct,greedy_ood_valid,greedy_hard_correct,greedy_hard_valid,greedy_depth50_correct,greedy_depth50_valid,train_correct1,train_valid1,train_joint1,ood_correct1,ood_valid1,ood_joint1,hard_correct1,hard_valid1,hard_joint1,depth50_correct1,depth50_valid1,depth50_joint1,train_correct2,train_valid2,train_joint2,ood_correct2,ood_valid2,ood_joint2,hard_correct2,hard_valid2,hard_joint2,depth50_correct2,depth50_valid2,depth50_joint2,train_correct4,train_valid4,train_joint4,ood_correct4,ood_valid4,ood_joint4,hard_correct4,hard_valid4,hard_joint4,depth50_correct4,depth50_valid4,depth50_joint4,train_correct8,train_valid8,train_joint8,ood_correct8,ood_valid8,ood_joint8,hard_correct8,hard_valid8,hard_joint8,depth50_correct8,depth50_valid8,depth50_joint8,train_correct16,train_valid16,train_joint16,ood_correct16,ood_valid16,ood_joint16,hard_correct16,hard_valid16,hard_joint16,depth50_correct16,depth50_valid16,depth50_joint16
logic,5,3407,11.095026429017777,0.42738589211618255,1.0,1.0,0.17329545454545456,0.11363636363636363,0.11458333333333333,0.06597222222222222,0.03125,0.0,1.0,1.0,1.0,0.16281960227272727,0.06338778409090909,0.060546875,0.11046006944444445,0.028428819444444444,0.025824652777777776,0.037109375,0.0,0.0,1.0,1.0,1.0,0.268063446969697,0.10989583333333332,0.1051373106060606,0.18900462962962963,0.05023148148148148,0.04560185185185185,0.07369791666666667,0.0,0.0,1.0,1.0,1.0,0.39844530469530465,0.172618006993007,0.16564373126873128,0.30099778693528695,0.08174984737484738,0.07433226495726496,0.1453125,0.0,0.0,1.0,1.0,1.0,0.5392714293282475,0.24143776047185136,0.2327477131454404,0.44656150176983506,0.12076912285245618,0.1105871751705085,0.28229166666666666,0.0,0.0,1.0,1.0,1.0,0.6846590909090909,0.3039772727272727,0.29261363636363635,0.6180555555555556,0.16319444444444445,0.14930555555555555,0.53125,0.0,0.0
logic,5,3408,18.67405327089417,0.5283018867924528,1.0,1.0,0.03125,0.019886363636363636,0.003472222222222222,0.006944444444444444,0.0,0.0,1.0,1.0,1.0,0.048828125,0.035688920454545456,0.02556818181818182,0.012803819444444444,0.009331597222222222,0.0010850694444444445,0.001953125,0.0078125,0.0,1.0,1.0,1.0,0.08631628787878788,0.06444128787878788,0.04578598484848485,0.025260416666666667,0.018460648148148146,0.002170138888888889,0.00390625,0.015625,0.0,1.0,1.0,1.0,0.14147102897102898,0.10906905594405593,0.07586632117882118,0.04915674603174603,0.036135912698412695,0.004340277777777778,0.0078125,0.03125,0.0,1.0,1.0,1.0,0.2134716924489652,0.17239263261990534,0.11481444691671965,0.09305555555555556,0.0693287037037037,0.008680555555555556,0.015625,0.0625,0.0,1.0,1.0,1.0,0.30113636363636365,0.2556818181818182,0.1590909090909091,0.16666666666666666,0.1284722222222222,0.017361111111111112,0.03125,0.125,0.0
logic,5,3409,15.686315588428617,0.16574585635359115,1.0,1.0,0.11931818181818182,0.022727272727272728,0.06597222222222222,0.0,0.03125,0.0,1.0,1.0,1.0,0.08220880681818182,0.013671875,0.013494318181818182,0.044487847222222224,0.0,0.0,0.013671875,0.0,0.0,1.0,1.0,1.0,0.14791666666666667,0.02490530303030303,0.02469223484848485,0.08460648148148148,0.0,0.0,0.027083333333333334,0.0,0.0,1.0,1.0,1.0,0.24580263486513487,0.04209852647352647,0.04196740759240759,0.15434600122100123,0.0,0.0,0.053125,0.0,0.0,1.0,1.0,1.0,0.3699377957900685,0.06389462809917355,0.06388668150031786,0.2645096801346801,0.0,0.0,0.10208333333333333,0.0,0.0,1.0,1.0,1.0,0.5142045454545454,0.08522727272727272,0.08522727272727272,0.4201388888888889,0.0,0.0,0.1875,0.0,0.0
logic,10,3407,10.062388604433881,0.5688073394495413,1.0,1.0,0.3125,0.2625,0.24305555555555555,0.1909722222222222,0.0,0.03125,0.99853515625,0.99853515625,0.99853515625,0.296875,0.2431640625,0.230859375,0.228515625,0.1723090277777778,0.15950520833333334,0.025390625,0.00390625,0.0,0.9998046875,0.9998046875,0.9998046875,0.384375,0.3081510416666667,0.2920052083333333,0.31762152777777775,0.2340277777777778,0.21623263888888888,0.04947916666666667,0.0078125,0.0,1.0,1.0,1.0,0.4721909340659341,0.3615298763736264,0.33925824175824176,0.4136446886446887,0.2907699938949939,0.266025641025641,0.09397321428571428,0.015625,0.0,1.0,1.0,1.0,0.5704810120435121,0.4031237859362859,0.37045308857808856,0.5227566800483467,0.3368042065958733,0.30050343175343175,0.16979166666666667,0.03125,0.0,1.0,1.0,1.0,0.68125,0.440625,0.3875,0.6458333333333334,0.3784722222222222,0.3194444444444444,0.28125,0.0625,0.0
logic,10,3408,12.119651302680836,0.5024390243902439,1.0,1.0,0.31875,0.25,0.24305555555555555,0.16666666666666666,0.0,0.0,0.99951171875,1.0,0.99951171875,0.2955078125,0.24140625,0.2369140625,0.21788194444444445,0.15755208333333334,0.1527777777777778,0.013671875,0.0,0.0,1.0,1.0,1.0,0.36151041666666667,0.27718750000000003,0.2724479166666667,0.2905960648148148,0.1969039351851852,0.19163773148148147,0.027083333333333334,0.0,0.0,1.0,1.0,1.0,0.43393200549450545,0.2992015796703297,0.2936263736263736,0.3710355616605617,0.22133508852258854,0.21514041514041515,0.053125,0.0,0.0,1.0,1.0,1.0,0.523677398989899,0.3144400738150738,0.3070335567210567,0.4707526655443322,0.23826674868341532,0.23003728524561856,0.10208333333333333,0.0,0.0,1.0,1.0,1.0,0.640625,0.334375,0.321875,0.6006944444444444,0.2604166666666667,0.2465277777777778,0.1875,0.0,0.0
logic,10,3409,10.501933596137226,0.5175438596491229,1.0,1.0,0.3625,0.271875,0.2951388888888889,0.19791666666666666,0.0,0.0,1.0,1.0,1.0,0.3328125,0.2501953125,0.2439453125,0.2591145833333333,0.16927083333333334,0.1623263888888889,0.017578125,0.013671875,0.001953125,1.0,1.0,1.0,0.4111197916666667,0.29380208333333335,0.2822395833333333,0.3456886574074074,0.21568287037037037,0.20283564814814814,0.03515625,0.027083333333333334,0.00390625,1.0,1.0,1.0,0.5034752747252746,0.3346102335164835,0.3131507554945055,0.44830586080586077,0.26068185286935286,0.2368379884004884,0.0703125,0.053125,0.0078125,1.0,1.0,1.0,0.6078690753690753,0.3799259421134421,0.3405371017871018,0.5642989726323059,0.31102882457049125,0.26726344643011307,0.140625,0.10208333333333333,0.015625,1.0,1.0,1.0,0.7125,0.440625,0.36875,0.6805555555555556,0.3784722222222222,0.2986111111111111,0.28125,0.1875,0.03125
logic,15,3407,10.961274598731931,0.23076923076923078,1.0,1.0,0.23828125,0.1328125,0.3229166666666667,0.22916666666666666,0.1875,0.0,0.9996744791666666,0.9996744791666666,0.9996744791666666,0.2197265625,0.12451171875,0.120361328125,0.3062065972222222,0.22157118055555555,0.21788194444444445,0.03125,0.009765625,0.0,1.0,1.0,1.0,0.3033854166666667,0.13776041666666666,0.12958984375,0.38078703703703703,0.2335648148148148,0.22630208333333332,0.062239583333333334,0.01901041666666667,0.0,1.0,1.0,1.0,0.4204842032967033,0.15288890796703297,0.13706859546703296,0.48487484737484743,0.24701236263736265,0.23294986263736264,0.1234375,0.0359375,0.0,1.0,1.0,1.0,0.5641398965617715,0.1769303613053613,0.14737306963869465,0.612568796943797,0.2683825433825434,0.24210939523439523,0.24270833333333333,0.06354166666666666,0.0,1.0,1.0,1.0,0.7109375,0.21484375,0.1640625,0.7430555555555556,0.3020833333333333,0.2569444444444444,0.46875,0.09375,0.0
logic,15,3408,9.47349474666168,0.3181818181818182,1.0,1.0,0.28125,0.1640625,0.3611111111111111,0.2569444444444444,0.03125,0.125,1.0,1.0,1.0,0.275390625,0.152099609375,0.1298828125,0.3559027777777778,0.2463107638888889,0.2265625,0.029296875,0.03125,0.0,1.0,1.0,1.0,0.3796875,0.182421875,0.14166666666666666,0.44861111111111107,0.2732638888888889,0.23703703703703705,0.05807291666666667,0.06145833333333334,0.0,1.0,1.0,1.0,0.5124420501373627,0.235546875,0.1589371565934066,0.5666151556776557,0.3204861111111111,0.25238858363858363,0.1140625,0.11897321428571428,0.0,1.0,1.0,1.0,0.6530045041763792,0.3302083333333333,0.190234375,0.6915595592678927,0.4046296296296296,0.28020833333333334,0.21979166666666666,0.22395833333333334,0.0,1.0,1.0,1.0,0.7734375,0.484375,0.24609375,0.7986111111111112,0.5416666666666666,0.3298611111111111,0.40625,0.40625,0.0
logic,15,3409,11.808750586380258,0.35668789808917195,1.0,1.0,0.32421875,0.12890625,0.3993055555555556,0.22569444444444445,0.03125,0.0,0.9996744791666666,0.9996744791666666,0.9996744791666666,0.287353515625,0.13427734375,0.134033203125,0.3663194444444444,0.2302517361111111,0.2300347222222222,0.005859375,0.0,0.0,1.0,1.0,1.0,0.3822265625,0.14635416666666667,0.14586588541666667,0.45086805555555554,0.2412037037037037,0.24076967592592594,0.01171875,0.0,0.0,1.0,1.0,1.0,0.4782881181318681,0.16316749656593407,0.16219093406593407,0.536256105006105,0.25614888583638584,0.25528083028083026,0.0234375,0.0,0.0,1.0,1.0,1.0,0.5532542977855478,0.18861906322843822,0.18666593822843822,0.6028927091427092,0.27877250064750064,0.27703638953638954,0.046875,0.0,0.0,1.0,1.0,1.0,0.61328125,0.22265625,0.21875,0.65625,0.3090277777777778,0.3055555555555556,0.09375,0.0,0.0
logic,20,3407,9.714217267631385,0.007692307692307692,1.0,1.0,0.13020833333333334,0.005208333333333333,0.4201388888888889,0.3368055555555556,0.0,0.0,1.0,0.99951171875,0.99951171875,0.16015625,0.006510416666666667,0.005208333333333333,0.4401041666666667,0.3372395833333333,0.3363715277777778,0.01171875,0.0,0.0,1.0,1.0,1.0,0.26566840277777776,0.0078125,0.005208333333333333,0.5104456018518518,0.3385416666666667,0.3368055555555556,0.0234375,0.0,0.0,1.0,1.0,1.0,0.40121050824175825,0.010416666666666666,0.005208333333333333,0.6008070054945055,0.3402777777777778,0.3368055555555556,0.046875,0.0,0.0,1.0,1.0,1.0,0.5442696192696193,0.015625,0.005208333333333333,0.6961797461797462,0.34375,0.3368055555555556,0.09375,0.0,0.0,1.0,1.0,1.0,0.6770833333333334,0.026041666666666668,0.005208333333333333,0.7847222222222222,0.3506944444444444,0.3368055555555556,0.1875,0.0,0.0
