template,train_max,seed,elapsed_hours,train_correct16,train_joint16,ood_correct1,ood_correct16,ood_valid16,ood_joint16,ood_valid_given_correct16,hard_correct16,hard_joint16,depth50_correct16,depth50_joint16
logic,5,3407,7.992948625753335,1.0,1.0,0.021484375,0.19602272727272727,0.2159090909090909,0.06818181818181818,0.34782608695652173,0.10069444444444445,0.010416666666666666,0.09375,0.03125
logic,5,3408,7.761175123411667,1.0,1.0,0.022549715909090908,0.24431818181818182,0.26988636363636365,0.05397727272727273,0.22093023255813954,0.16319444444444445,0.017361111111111112,0.03125,0.0
logic,5,3409,7.010478330260836,1.0,1.0,0.04776278409090909,0.4375,0.20738636363636365,0.03409090909090909,0.07792207792207792,0.3576388888888889,0.010416666666666666,0.28125,0.0
logic,10,3407,5.055391425495554,1.0,1.0,0.23203125,0.6,0.68125,0.3625,0.6041666666666666,0.5555555555555556,0.2916666666666667,0.28125,0.0
logic,10,3408,3.8636821867633344,1.0,1.0,0.2572265625,0.79375,0.6,0.353125,0.44488188976377957,0.7708333333333334,0.28125,0.59375,0.03125
logic,10,3409,4.783689310829447,1.0,1.0,0.25546875,0.7875,0.6375,0.371875,0.47222222222222227,0.7638888888888888,0.3020833333333333,0.5625,0.0
logic,15,3407,5.8109604041025,1.0,1.0,0.119384765625,0.47265625,0.328125,0.23828125,0.5041322314049587,0.53125,0.3229166666666667,0.0625,0.0
logic,15,3408,4.773438862034172,1.0,1.0,0.228515625,0.75390625,0.546875,0.3515625,0.46632124352331605,0.78125,0.4236111111111111,0.59375,0.09375
logic,15,3409,4.897526606951109,1.0,1.0,0.150634765625,0.67578125,0.42578125,0.2890625,0.4277456647398844,0.7118055555555556,0.3680555555555556,0.40625,0.03125
logic,20,3407,3.6091087526088894,1.0,1.0,0.3401692708333333,0.8645833333333334,0.7864583333333334,0.4479166666666667,0.5180722891566265,0.9097222222222222,0.6319444444444444,0.875,0.125
logic,20,3408,3.3020078052422224,1.0,1.0,0.3040364583333333,0.8385416666666666,0.90625,0.5260416666666666,0.6273291925465838,0.8923611111111112,0.6840277777777778,0.875,0.40625
logic,20,3409,3.4364012008002787,1.0,1.0,0.20865885416666666,0.7864583333333334,0.7604166666666666,0.3489583333333333,0.4437086092715231,0.8576388888888888,0.5659722222222222,0.8125,0.0625
logic,25,3407,4.178191766869996,1.0,1.0,0.4484375,0.93125,0.8625,0.63125,0.6778523489932885,0.9618055555555556,0.7951388888888888,0.875,0.375
logic,25,3408,4.20298751458583,1.0,1.0,0.592578125,0.95625,0.9625,0.84375,0.8823529411764706,0.9756944444444444,0.9131944444444444,0.9375,0.625
logic,25,3409,3.8016640004080546,1.0,1.0,0.498828125,0.875,0.875,0.65625,0.75,0.9305555555555556,0.8090277777777778,0.6875,0.25
nl_exact,5,3407,6.263448635279726,1.0,1.0,0.3338068181818182,0.39488636363636365,0.3068181818181818,0.3068181818181818,0.776978417266187,0.2604166666666667,0.1527777777777778,0.0,0.0
nl_exact,5,3408,4.492077661036116,1.0,1.0,0.361328125,0.5426136363636364,0.34375,0.33238636363636365,0.612565445026178,0.4409722222222222,0.1840277777777778,0.375,0.0
nl_exact,5,3409,3.923340223234724,1.0,1.0,0.36487926136363635,0.5681818181818182,0.3153409090909091,0.3153409090909091,0.555,0.4722222222222222,0.16319444444444445,0.5,0.0
nl_exact,10,3407,5.201847115305282,1.0,1.0,0.3333984375,0.396875,0.303125,0.303125,0.7637795275590551,0.3298611111111111,0.22569444444444445,0.25,0.0
nl_exact,10,3408,3.768160745271105,1.0,1.0,0.3552734375,0.53125,0.29375,0.29375,0.5529411764705883,0.4791666666666667,0.2152777777777778,0.34375,0.0
nl_exact,10,3409,4.573879428657504,1.0,1.0,0.3744140625,0.51875,0.3,0.3,0.5783132530120482,0.4652777777777778,0.2222222222222222,0.65625,0.0
nl_exact,15,3407,5.711971843186111,1.0,1.0,0.2265625,0.37890625,0.16796875,0.15625,0.41237113402061853,0.4479166666666667,0.25,0.34375,0.0
nl_exact,15,3408,4.499297502523615,1.0,1.0,0.1953125,0.33203125,0.12890625,0.12890625,0.38823529411764707,0.40625,0.22569444444444445,0.375,0.0
nl_exact,15,3409,5.885934546796392,1.0,1.0,0.14990234375,0.25390625,0.125,0.125,0.49230769230769234,0.3368055555555556,0.2222222222222222,0.0625,0.0
nl_exact,20,3407,5.913609512431107,1.0,1.0,0.208984375,0.453125,0.13020833333333334,0.13020833333333334,0.2873563218390805,0.6354166666666666,0.4201388888888889,0.1875,0.0
nl_exact,20,3408,4.978245979060561,1.0,1.0,0.19498697916666666,0.5,0.16145833333333334,0.16145833333333334,0.3229166666666667,0.6666666666666666,0.4409722222222222,0.5625,0.0
nl_exact,20,3409,5.433430129591935,1.0,1.0,0.2568359375,0.46875,0.3645833333333333,0.3645833333333333,0.7777777777777778,0.6458333333333334,0.5763888888888888,0.46875,0.34375
nl_exact,25,3407,6.369747052709734,1.0,1.0,0.52578125,0.7625,0.75,0.74375,0.9754098360655739,0.8680555555555556,0.8576388888888888,0.5,0.40625
nl_exact,25,3408,6.268013984539721,1.0,1.0,0.6625,0.9,0.83125,0.81875,0.9097222222222222,0.9444444444444444,0.8993055555555556,0.59375,0.5
nl_exact,25,3409,6.462485996831933,1.0,1.0,0.534765625,0.71875,0.69375,0.68125,0.9478260869565218,0.84375,0.8229166666666666,0.4375,0.375
