template,train_max,depth,n,correct1_mean,correct1_std,correct16_mean,correct16_std,valid16_mean,valid16_std,joint16_mean,joint16_std
logic,5,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,5,3,0.998046875,0.001594719884624465,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,10,3,0.11848958333333333,0.01327869664998121,0.8333333333333334,0.05892556509887896,0.65625,0.22243913025065232,0.28125,0.11121956512532616
logic,5,12,3,0.057291666666666664,0.022345055080378273,0.5208333333333334,0.15380024021076458,0.6666666666666666,0.11505584392903397,0.17708333333333334,0.10311973892303818
logic,5,15,3,0.0390625,0.01149968862803105,0.4166666666666667,0.0820209153542897,0.28125,0.10206207261596575,0.041666666666666664,0.01473139127471974
logic,5,18,3,0.017578125,0.009959022487485907,0.20833333333333334,0.07795119555779044,0.2708333333333333,0.1640418307085794,0.03125,0.02551551815399144
logic,5,20,3,0.016276041666666668,0.00736569563735987,0.21875,0.08838834764831845,0.16666666666666666,0.09660019266141358,0.020833333333333332,0.01473139127471974
logic,5,25,3,0.016276041666666668,0.011969255410709789,0.21875,0.13258252147247765,0.052083333333333336,0.02946278254943948,0.0,0.0
logic,5,30,3,0.005208333333333333,0.0048719497223619025,0.08333333333333333,0.07795119555779044,0.052083333333333336,0.02946278254943948,0.0,0.0
logic,5,35,3,0.013020833333333334,0.011754863336762882,0.15625,0.13501543121683043,0.08333333333333333,0.09660019266141358,0.010416666666666666,0.01473139127471974
logic,5,40,3,0.01953125,0.021096161127629753,0.17708333333333334,0.15380024021076458,0.11458333333333333,0.07795119555779044,0.0,0.0
logic,5,45,3,0.022135416666666668,0.019682573512800748,0.25,0.1926379375927805,0.041666666666666664,0.05892556509887896,0.0,0.0
logic,5,50,3,0.01171875,0.009700302360515195,0.13541666666666666,0.10622957319984969,0.15625,0.11692679333668567,0.010416666666666666,0.01473139127471974
logic,10,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,10,3,0.9993489583333334,0.0009207119546699837,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,12,3,0.9283854166666666,0.025829211490725746,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,15,3,0.6106770833333334,0.06820729611306664,1.0,0.0,0.8333333333333334,0.12058163440406484,0.8020833333333334,0.1405285162836671
logic,10,18,3,0.3873697916666667,0.02772856697792559,1.0,0.0,0.9791666666666666,0.01473139127471974,0.90625,0.04419417382415922
logic,10,20,3,0.11328125,0.037160737481329,0.75,0.1275775907699572,0.9270833333333334,0.06421264586426018,0.4270833333333333,0.14508737788733458
logic,10,25,3,0.1328125,0.030757843257858637,0.8333333333333334,0.08960755486502736,0.84375,0.06750771560841522,0.17708333333333334,0.05311478659992484
logic,10,30,3,0.11458333333333333,0.01573313277811793,0.78125,0.0919975090242484,0.6979166666666666,0.0736569563735987,0.15625,0.05103103630798288
logic,10,35,3,0.057291666666666664,0.019939313582179107,0.5520833333333334,0.1405285162836671,0.22916666666666666,0.05892556509887896,0.010416666666666666,0.01473139127471974
logic,10,40,3,0.03125,0.010457277606906908,0.3854166666666667,0.0820209153542897,0.3020833333333333,0.03897559777889522,0.0625,0.02551551815399144
logic,10,45,3,0.059895833333333336,0.03920330525344947,0.4895833333333333,0.3022628776780606,0.4166666666666667,0.09660019266141358,0.07291666666666667,0.05311478659992484
logic,10,50,3,0.046875,0.019918044974971814,0.4791666666666667,0.1405285162836671,0.16666666666666666,0.08960755486502736,0.010416666666666666,0.01473139127471974
logic,15,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,10,3,0.9986979166666666,0.0018414239093399675,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,12,3,0.9993489583333334,0.0009207119546699837,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,15,3,0.9986979166666666,0.0018414239093399675,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,18,3,0.67578125,0.2004785534430678,1.0,0.0,1.0,0.0,1.0,0.0
logic,15,20,3,0.2630208333333333,0.06387511763755747,0.9479166666666666,0.03897559777889522,0.9791666666666666,0.02946278254943948,0.8645833333333334,0.03897559777889522
logic,15,25,3,0.11197916666666667,0.05728426798817431,0.7395833333333334,0.23707930576543837,0.6979166666666666,0.18807781338820612,0.2708333333333333,0.19819059990042134
logic,15,30,3,0.091796875,0.03880120944206078,0.6666666666666666,0.14508737788733458,0.28125,0.1839950180484968,0.08333333333333333,0.05311478659992484
